ID,quiet,steady,changing,testing,sample,finalAudioCheck,help_person,external_help,aloud_rehearsal,sound_off,unplug_hp,external_distraction,device_used,audio_device,response_device,motivation,concentration,location_time,switch_screen,technical_issue,hearing,cse,sse,ise
hcpibomukkepp0uy,0.7125,0.68125,0.575,Online,LSU,correct,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Laptop,In-ear,Mouse,high,high,7:36 PM,FALSE,FALSE,NA,0.10625000000000007,0.03125,0.13750000000000007
hcpibomukkfvxkeo,0.8125,0.71875,0.65625,Online,LSU,correct,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Laptop,Over-ear,Trackpad,high,average,3:06 PM,FALSE,FALSE,NA,0.0625,0.09375,0.15625
hcpibomukkfy4bvp,0.64375,0.65,0.5,Online,LSU,correct,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Laptop,In-ear,Trackpad,average,average,6:26pm,FALSE,FALSE,NA,0.15000000000000002,-0.006249999999999978,0.14375000000000004
hcpibomukkg1k1gr,0.93125,0.80625,0.8125,Online,LSU,correct,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Laptop,In-ear,Trackpad,high,high,5:41 PM,FALSE,FALSE,NA,-0.006249999999999978,0.125,0.11875000000000002
hcpibomukkg51u1r,0.8,0.7125,0.6875,Online,LSU,correct,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Laptop,In-ear,Trackpad,highest,highest,11:15 AM,FALSE,FALSE,NA,0.025000000000000022,0.08750000000000002,0.11250000000000004
hcpibomukkiraer4,0.725,0.65,0.58125,Online,LSU,correct,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Laptop,In-ear,Mouse,average,average,3:15 PM,FALSE,FALSE,NA,0.06874999999999998,0.07499999999999996,0.14374999999999993
hcpibomukkiu1x4o,0.74375,0.68125,0.68125,Online,LSU,correct,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Laptop,Over-ear,Touchscreen,highest,highest,4:31pm,FALSE,FALSE,NA,0,0.0625,0.0625
hcpibomukkk7tvzc,0.7375,0.6875,0.68125,Online,LSU,correct,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Laptop,In-ear,Trackpad,average,high,3:43 PM,FALSE,FALSE,NA,0.006249999999999978,0.050000000000000044,0.05625000000000002
hcpibomukklmfime,0.71875,0.5625,0.48125,Online,LSU,correct,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Laptop,In-ear,Trackpad,average,average,12:39 PM,FALSE,FALSE,NA,0.08124999999999999,0.15625,0.2375
hcpibd1jkkpvb2w3,0.58125,0.39375,0.24375,Online,LSU,correct,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Laptop,In-ear,Trackpad,average,average,2:40 PM,FALSE,FALSE,NA,0.15,0.18750000000000006,0.3375
hcpibd1jkkvlpzws,0.66875,0.75,0.55625,Online,LSU,correct,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Laptop,In-ear,Mouse,average,average,2:54pm,FALSE,FALSE,NA,0.19374999999999998,-0.08125000000000004,0.11249999999999993
hcpibd1jkl2y59y6,0.78125,0.63125,0.5625,Online,LSU,correct,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Laptop,In-ear,Trackpad,highest,highest,6:21 PM,FALSE,FALSE,NA,0.06874999999999998,0.15000000000000002,0.21875
hcpib1xlkl790l88,0.76875,0.73125,0.5625,Online,LSU,correct,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Laptop,Over-ear,Touchscreen,average,average,7pm,FALSE,FALSE,NA,0.16874999999999996,0.03750000000000009,0.20625000000000004
hcpib1xlkl8mbom9,0.8375,0.74375,0.74375,Online,LSU,correct,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Laptop,In-ear,Mouse,high,high,5:35 PM,FALSE,FALSE,NA,0,0.09375,0.09375
hcpibkajklppb0ha,0.5,0.44375,0.46875,Online,LSU,correct,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Laptop,In-ear,Mouse,average,high,4:27 PM,FALSE,FALSE,NA,-0.025000000000000022,0.05625000000000002,0.03125
hcpib29qkmb0ojzs,0.5,0.45625,0.4875,Online,LSU,correct,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Laptop,In-ear,Touchscreen,high,average,3:33 PM,FALSE,FALSE,NA,-0.03125,0.04375000000000001,0.012500000000000011
hcpib29qkmcnsxya,0.48125,0.4375,0.3375,Online,LSU,correct,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Laptop,In-ear,Trackpad,highest,high,5:20 PM,FALSE,FALSE,NA,0.09999999999999998,0.04375000000000001,0.14375
hcpib8m7kmnwwdpm,0.925,0.875,0.7625,Online,LSU,correct,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Laptop,In-ear,Trackpad,high,high,4:16 PM,FALSE,FALSE,NA,0.11250000000000004,0.050000000000000044,0.1625000000000001
hcpibj7dkmqokv1e,0.575,0.575,0.5625,Online,LSU,correct,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Laptop,In-ear,Trackpad,average,highest,2:35 PM,FALSE,FALSE,NA,0.012499999999999956,0,0.012499999999999956
